iter	Passed	Remaining
0	175	175398
1	189	94351
2	192	63946
3	194	48541
4	198	39479
5	202	33525
6	205	29097
7	208	25904
8	211	23279
9	213	21170
10	217	19518
11	218	18003
12	220	16741
13	222	15638
14	223	14669
15	224	13824
16	226	13071
17	227	12401
18	228	11806
19	231	11322
20	232	10837
21	233	10393
22	235	9995
23	236	9622
24	237	9279
25	239	8963
26	240	8667
27	241	8392
28	242	8133
29	244	7904
30	245	7683
31	246	7470
32	248	7271
33	249	7088
34	250	6912
35	251	6745
36	253	6586
37	254	6435
38	255	6292
39	256	6157
40	257	6027
41	260	5936
42	261	5818
43	262	5708
44	263	5600
45	265	5497
46	266	5398
47	267	5302
48	268	5213
49	269	5125
50	270	5042
51	272	4960
52	273	4886
53	274	4817
54	276	4746
55	277	4677
56	278	4609
57	279	4543
58	280	4480
59	281	4417
60	283	4359
61	284	4302
62	285	4245
63	286	4191
64	288	4144
65	289	4097
66	290	4048
67	291	4000
68	293	3953
69	294	3907
70	295	3863
71	296	3820
72	297	3778
73	298	3737
74	299	3697
75	300	3658
76	302	3622
77	304	3595
78	305	3559
79	306	3524
80	307	3489
81	308	3455
82	309	3418
83	310	3385
84	311	3354
85	313	3326
86	314	3296
87	315	3267
88	316	3240
89	318	3222
90	320	3198
91	321	3177
92	323	3151
93	328	3168
94	330	3147
95	331	3125
96	333	3108
97	335	3084
98	336	3059
99	337	3036
100	338	3012
101	339	2990
102	340	2968
103	342	2946
104	343	2925
105	344	2903
106	345	2883
107	347	2873
108	349	2854
109	350	2834
110	351	2815
111	352	2795
112	353	2776
113	355	2759
114	356	2741
115	357	2722
116	358	2703
117	359	2685
118	360	2668
119	363	2664
120	364	2651
121	365	2633
122	367	2618
123	368	2603
124	369	2587
125	370	2572
126	371	2556
127	373	2541
128	374	2527
129	378	2529
130	379	2515
131	380	2501
132	381	2486
133	382	2473
134	383	2459
135	385	2446
136	386	2436
137	388	2424
138	389	2412
139	390	2400
140	393	2397
141	394	2383
142	395	2371
143	396	2359
144	398	2347
145	399	2335
146	400	2323
147	401	2311
148	402	2300
149	404	2290
150	405	2279
151	407	2275
152	409	2264
153	410	2254
154	411	2243
155	412	2233
156	414	2223
157	415	2213
158	416	2204
159	417	2194
160	418	2182
161	419	2172
162	422	2171
163	424	2164
164	425	2155
165	427	2146
166	428	2136
167	429	2127
168	430	2118
169	432	2111
170	433	2101
171	434	2093
172	438	2097
173	441	2094
174	443	2091
175	445	2084
176	447	2078
177	461	2129
178	504	2315
179	506	2307
180	518	2345
181	519	2336
182	521	2328
183	523	2320
184	530	2339
185	551	2412
186	554	2410
187	556	2402
188	557	2393
189	559	2386
190	565	2396
191	568	2390
192	569	2381
193	571	2372
194	572	2364
195	576	2364
196	578	2358
197	580	2350
198	581	2340
199	582	2331
200	584	2323
201	586	2316
202	591	2323
203	593	2316
204	596	2313
205	598	2305
206	599	2297
207	601	2291
208	604	2287
209	606	2281
210	607	2272
211	608	2263
212	610	2257
213	612	2250
214	614	2244
215	617	2240
216	623	2249
217	624	2240
218	625	2232
219	627	2223
220	628	2214
221	629	2206
222	630	2197
223	639	2215
224	641	2208
225	643	2203
226	645	2196
227	646	2187
228	647	2179
229	650	2178
230	652	2173
231	654	2165
232	655	2157
233	656	2149
234	658	2142
235	659	2134
236	660	2126
237	662	2120
238	664	2116
239	666	2110
240	667	2102
241	668	2094
242	669	2086
243	671	2079
244	672	2073
245	676	2074
246	692	2112
247	694	2106
248	698	2105
249	699	2099
250	702	2096
251	704	2092
252	711	2102
253	713	2094
254	714	2087
255	716	2081
256	717	2074
257	718	2067
258	720	2059
259	721	2052
260	722	2045
261	723	2038
262	726	2036
263	728	2029
264	729	2023
265	731	2017
266	732	2011
267	733	2004
268	735	2000
269	737	1994
270	740	1991
271	741	1985
272	742	1978
273	744	1973
274	745	1966
275	747	1960
276	748	1953
277	749	1947
278	750	1940
279	754	1939
280	762	1949
281	764	1947
282	766	1941
283	767	1935
284	769	1929
285	773	1931
286	775	1926
287	777	1921
288	778	1915
289	784	1921
290	788	1920
